0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,vid_id,vid_type
2872.0,4804.0,4452.0,3378.0,4643.0,24537.0,1203.0,3333.0,14550.0,462.0,26177.0,11592.0,167012.0,90623.0,4018.0,35568.0,223298.0,71038.0,101397.0,154762.0,87697.0,94668.0,274596.0,190432.0,338222.0,4176.0,169924.0,33610.0,219120.0,32706.0,591036.0,53833.0,494607.0,317642.0,509392.0,321400.0,569630.0,473616.0,575911.0,348460.0,85198.0,440531.0,256246.0,169965.0,184545.0,156095.0,180640.0,60318.0,182537.0,58141.0,193844.0,0.0,0.0,27560.0,152956.0,127040.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,19833.0,412638.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,282.0,67798.0,414479.0,0.0,0.0,0.0,0.0,359.0,0.0,0.0,0.0,33511.0,561109.0,369737.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,90342.0,295770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84656.0,447862.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,69676.0,317885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61395.0,97531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,74072.0,80231.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,91147.0,228140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,81642.0,273115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37353.0,349656.0,0.0,0.0,264.0,0.0,66.0,0.0,0.0,0.0,100078.0,180321.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60349.0,117889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54981.0,265726.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,30049.0,220980.0,206701.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,34325.0,580986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74616.0,57502.0,0.0,66.0,282.0,0.0,66.0,0.0,0.0,0.0,37562.0,33118.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
158.0,0.0,136.0,9249.0,565157.0,829290.0,1070502.0,367034.0,123391.0,120184.0,837506.0,224736.0,480879.0,259154.0,726023.0,224.0,703133.0,50433.0,667536.0,252230.0,460271.0,285722.0,682809.0,101040.0,494624.0,969594.0,1041004.0,1049666.0,943426.0,823516.0,664421.0,1054544.0,1071079.0,939560.0,963280.0,1107426.0,1047365.0,877374.0,1021386.0,347919.0,1042865.0,480914.0,1003768.0,388143.0,0.0,0.0,107188.0,1025394.0,264190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6768.0,920746.0,537230.0,0.0,0.0,0.0,350.0,0.0,158.0,0.0,0.0,602666.0,559768.0,159229.0,434796.0,10847.0,0.0,0.0,0.0,0.0,0.0,853316.0,1106374.0,279823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687896.0,1016975.0,224945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689946.0,533709.0,829676.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,537407.0,972480.0,847517.0,0.0,0.0,66.0,283.0,78.0,92.0,3731.0,281043.0,525110.0,544107.0,901911.0,0.0,0.0,0.0,0.0,0.0,0.0,375861.0,840044.0,121860.0,721956.0,278996.0,0.0,0.0,0.0,0.0,0.0,235548.0,1014295.0,584788.0,409135.0,0.0,0.0,0.0,74.0,158.0,158.0,183340.0,1081783.0,1077229.0,114374.0,158.0,0.0,0.0,0.0,0.0,0.0,81625.0,990690.0,874855.0,720520.0,132.0,0.0,349.0,0.0,0.0,0.0,58802.0,900640.0,984063.0,269145.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,965668.0,983974.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51261.0,42837.0,214700.0,483123.0,855489.0,956710.0,323241.0,0.0,158.0,0.0,205995.0,729550.0,1008910.0,669398.0,0.0,0.0,7879.0,0.0,0.0,0.0,205488.0,783990.0,600539.0,0.0,0.0,0.0,349.0,0.0,0.0,0.0,117493.0,858001.0,307986.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,80465.0,262334.0,696344.0,0.0,158.0,0.0,0.0,0.0,0.0,158.0,44978.0,860672.0,26.0,1.0
4385.0,4391.0,4383.0,2247.0,0.0,15397.0,16310.0,802.0,37860.0,134169.0,3598.0,120888.0,194480.0,793.0,99086.0,39211.0,245694.0,387253.0,201288.0,156920.0,0.0,854269.0,77905.0,952045.0,785205.0,1038818.0,987906.0,869495.0,1000227.0,543911.0,1155572.0,707375.0,1006312.0,914790.0,820955.0,980500.0,327539.0,175193.0,1282082.0,854012.0,1037178.0,585762.0,1292701.0,804242.0,416838.0,952740.0,920434.0,1039983.0,210110.0,794.0,66849.0,612018.0,728515.0,100303.0,0.0,0.0,0.0,0.0,0.0,0.0,74307.0,1002888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1284.0,1215679.0,650206.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,1203617.0,16548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671949.0,407945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815249.0,285490.0,0.0,0.0,0.0,66.0,0.0,0.0,3695.0,3615.0,650700.0,447194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696369.0,409873.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,2314.0,853747.0,994650.0,0.0,0.0,948.0,66.0,0.0,0.0,0.0,1188.0,740038.0,933873.0,281549.0,195289.0,0.0,0.0,0.0,0.0,0.0,0.0,391981.0,619039.0,1149.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,898671.0,494186.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,810930.0,181145.0,0.0,0.0,0.0,0.0,0.0,74.0,316.0,158.0,678499.0,214056.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,739160.0,443073.0,0.0,0.0,158.0,66.0,0.0,0.0,0.0,0.0,224417.0,933143.0,143229.0,33481.0,0.0,6488.0,743.0,0.0,0.0,0.0,743940.0,783800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594331.0,640220.0,439214.0,137120.0,0.0,66.0,0.0,0.0,0.0,0.0,641525.0,880069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0
816.0,215797.0,66888.0,719669.0,784578.0,1045028.0,795593.0,940070.0,976267.0,901953.0,827424.0,961589.0,851648.0,1045317.0,912535.0,941577.0,905567.0,905818.0,1033384.0,910666.0,754500.0,234521.0,989848.0,912797.0,998916.0,947857.0,1067567.0,956782.0,1014385.0,1039857.0,945606.0,878517.0,959940.0,842196.0,905328.0,1078216.0,781812.0,903280.0,927907.0,973916.0,1000501.0,1025564.0,0.0,4541.0,1072558.0,183892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887341.0,598699.0,0.0,0.0,0.0,0.0,0.0,346.0,0.0,0.0,985646.0,256038.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,789592.0,287833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,280.0,0.0,0.0,0.0,158.0,0.0,2829.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,66.0,280.0,0.0,0.0,0.0,0.0,390.0,158.0,0.0,158.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,281.0,0.0,66.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
210.0,390.0,158.0,686105.0,1007945.0,251453.0,1186762.0,420411.0,94529.0,680154.0,707238.0,439324.0,175583.0,287692.0,285628.0,323690.0,604296.0,332822.0,643670.0,418522.0,411171.0,35021.0,172965.0,452009.0,745422.0,261126.0,479667.0,374348.0,1110526.0,326594.0,810842.0,553618.0,1081492.0,550438.0,959964.0,556253.0,1310926.0,568282.0,1287109.0,626458.0,1250606.0,520465.0,958598.0,496456.0,1084781.0,588800.0,1050612.0,525077.0,1393854.0,602548.0,1189779.0,519967.0,1352310.0,561637.0,966761.0,521441.0,947131.0,542433.0,1123971.0,335884.0,1304165.0,540881.0,1110057.0,468275.0,1431529.0,539213.0,1083793.0,374145.0,118606.0,513390.0,1314674.0,254566.0,1269221.0,466099.0,1278205.0,408110.0,1240367.0,438384.0,692519.0,518028.0,1040571.0,382543.0,1037506.0,178455.0,1192305.0,420169.0,1347457.0,350123.0,1170125.0,500153.0,1090426.0,480152.0,923917.0,448406.0,1179082.0,357662.0,1304104.0,418767.0,1195698.0,375948.0,1083827.0,371778.0,963323.0,400042.0,957307.0,333233.0,476454.0,355094.0,1135187.0,461074.0,1327845.0,450602.0,930052.0,401824.0,1015225.0,435412.0,842577.0,294828.0,1240394.0,426179.0,1035933.0,0.0,0.0,0.0,0.0,0.0,379784.0,444233.0,324447.0,420055.0,1294760.0,359122.0,5611.0,0.0,0.0,0.0,134656.0,737381.0,799122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357545.0,381444.0,756667.0,172108.0,0.0,0.0,0.0,0.0,0.0,0.0,156040.0,581471.0,372282.0,364095.0,376806.0,104000.0,66.0,0.0,0.0,0.0,161465.0,560546.0,695832.0,145462.0,505629.0,380197.0,9121.0,321910.0,524150.0,0.0,380286.0,467222.0,949429.0,172913.0,866317.0,193551.0,418366.0,366867.0,439833.0,164.0,205530.0,431712.0,244950.0,506094.0,901444.0,147365.0,873814.0,126278.0,123618.0,0.0,292509.0,507347.0,759571.0,127620.0,1216065.0,265925.0,576535.0,0.0,0.0,0.0,272826.0,513652.0,912511.0,269735.0,1128609.0,174210.0,493931.0,335261.0,167189.0,164.0,192696.0,544340.0,830784.0,386722.0,941241.0,237257.0,802594.0,0.0,0.0,0.0,227439.0,511411.0,334731.0,477850.0,873469.0,317831.0,1032804.0,180936.0,878646.0,0.0,210825.0,521439.0,1039234.0,243697.0,48.0,1.0
8329.0,13083.0,52097.0,379705.0,235324.0,75918.0,510157.0,36673.0,777959.0,349979.0,680017.0,297654.0,348327.0,1072580.0,1064478.0,1127722.0,1014734.0,991416.0,1093858.0,1102924.0,1005691.0,1100171.0,418978.0,720249.0,475215.0,777647.0,1079843.0,1021662.0,612086.0,891083.0,1099150.0,953315.0,1042900.0,1070958.0,864548.0,1046754.0,1024746.0,713919.0,872899.0,937973.0,950619.0,894246.0,984605.0,1001796.0,1120661.0,909368.0,475776.0,850156.0,622479.0,718986.0,885406.0,620058.0,395917.0,992787.0,994749.0,875386.0,1114565.0,773555.0,1036749.0,269954.0,0.0,0.0,0.0,51202.0,378613.0,912582.0,970811.0,995005.0,448227.0,1068735.0,1112958.0,461711.0,348774.0,230976.0,703342.0,546319.0,752597.0,681076.0,670516.0,563405.0,1046736.0,860315.0,885110.0,226868.0,940123.0,874899.0,1033928.0,92867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196980.0,881194.0,807303.0,665489.0,610961.0,309637.0,975254.0,809040.0,915006.0,654740.0,529353.0,834860.0,933344.0,1041337.0,421569.0,1091064.0,893043.0,927895.0,147934.0,841186.0,926869.0,1034547.0,506756.0,855924.0,1037410.0,1033352.0,846667.0,741465.0,360415.0,415272.0,597528.0,871671.0,1129208.0,321260.0,575761.0,1078809.0,467271.0,1133866.0,1018192.0,1056878.0,128156.0,0.0,0.0,0.0,0.0,0.0,91597.0,978554.0,1049615.0,1126887.0,255720.0,0.0,0.0,0.0,0.0,0.0,90642.0,1009805.0,1142920.0,1159690.0,149166.0,0.0,0.0,0.0,0.0,0.0,74084.0,264175.0,1019616.0,966217.0,1110211.0,101733.0,0.0,0.0,0.0,0.0,0.0,207355.0,894203.0,1041310.0,1022275.0,323102.0,0.0,0.0,0.0,0.0,49355.0,493666.0,1050198.0,875980.0,1052844.0,32772.0,0.0,0.0,0.0,0.0,13062.0,193136.0,950921.0,706379.0,596310.0,707332.0,278834.0,57913.0,0.0,0.0,5746.0,200443.0,962843.0,1117117.0,762931.0,530868.0,0.0,0.0,0.0,0.0,4254.0,983852.0,1000008.0,1087944.0,450914.0,0.0,0.0,0.0,0.0,0.0,645.0,1066816.0,1068692.0,1080311.0,347609.0,232.0,158.0,158.0,0.0,0.0,457.0,1004654.0,1100529.0,1010143.0,379113.0,0.0,28.0,1.0
3640.0,12901.0,735254.0,334068.0,732599.0,361009.0,1047922.0,85642.0,855945.0,347178.0,954442.0,314648.0,634651.0,377900.0,398013.0,355184.0,954985.0,367413.0,437090.0,278336.0,1264215.0,166775.0,554466.0,341692.0,1057177.0,24586.0,673601.0,340377.0,651488.0,269440.0,1060925.0,114546.0,870932.0,243866.0,777536.0,331243.0,831867.0,259265.0,622661.0,336269.0,757012.0,322111.0,893109.0,259865.0,990699.0,338123.0,381095.0,355787.0,1027078.0,293510.0,549737.0,376909.0,850859.0,200173.0,1089626.0,285734.0,838999.0,307176.0,781913.0,339367.0,476394.0,273720.0,753775.0,400109.0,1126188.0,127132.0,730429.0,290455.0,1098522.0,353469.0,791432.0,353584.0,310105.0,488622.0,910393.0,255064.0,1279657.0,50720.0,773987.0,357485.0,838749.0,300440.0,1127038.0,272074.0,180036.0,608426.0,881062.0,336087.0,1013311.0,143383.0,1228598.0,384724.0,651860.0,355822.0,1057223.0,289221.0,361988.0,543685.0,575754.0,437124.0,1008044.0,235705.0,1013380.0,314705.0,1153605.0,365224.0,523734.0,385212.0,504044.0,650733.0,826364.0,427407.0,974976.0,340589.0,990972.0,353519.0,687466.0,354912.0,866806.0,348409.0,449864.0,164338.0,1197517.0,174821.0,1277723.0,356272.0,546767.0,309087.0,1070302.0,328627.0,991618.0,340591.0,455958.0,469756.0,1107527.0,209389.0,1060983.0,323632.0,1198301.0,251114.0,1027124.0,285980.0,1058137.0,361362.0,742573.0,521337.0,1141074.0,277194.0,1091655.0,310945.0,1124300.0,363867.0,1048204.0,317363.0,972967.0,352298.0,1102662.0,295824.0,867860.0,556857.0,931939.0,490484.0,1074012.0,268237.0,1020873.0,299043.0,913743.0,418245.0,1204322.0,253318.0,1131999.0,371096.0,1085443.0,348388.0,1072247.0,362535.0,1025966.0,320983.0,878934.0,580454.0,694209.0,241366.0,993544.0,437636.0,1163145.0,363884.0,1078036.0,378944.0,573709.0,717578.0,842511.0,665097.0,809246.0,428543.0,1031046.0,381631.0,1061031.0,539465.0,915400.0,506024.0,683551.0,572220.0,738917.0,637510.0,961000.0,485182.0,1132012.0,424470.0,980841.0,574878.0,972613.0,439680.0,682667.0,383808.0,954972.0,543588.0,1070387.0,499206.0,892846.0,50975.0,0.0,0.0,0.0,442887.0,823154.0,615854.0,1059424.0,539668.0,518100.0,0.0,0.0,0.0,0.0,376083.0,1028229.0,589940.0,836424.0,691136.0,440873.0,0.0,48.0,1.0
3504.0,14568.0,139661.0,239201.0,96475.0,46698.0,11978.0,31042.0,340107.0,166662.0,413793.0,17993.0,356319.0,317747.0,490661.0,253973.0,658339.0,377761.0,94423.0,504991.0,649581.0,349650.0,318974.0,140030.0,486842.0,324610.0,230332.0,525628.0,193489.0,405824.0,926888.0,635469.0,643467.0,751334.0,762214.0,202380.0,501419.0,801650.0,852392.0,121045.0,1133848.0,315258.0,832752.0,289193.0,264615.0,145995.0,457702.0,419807.0,731806.0,672888.0,37566.0,488974.0,1018296.0,139729.0,861089.0,731073.0,999941.0,997478.0,663438.0,380987.0,619592.0,111385.0,415.0,0.0,0.0,173811.0,791190.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,53888.0,805647.0,482158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99479.0,244777.0,234457.0,256686.0,275318.0,297874.0,56210.0,0.0,0.0,0.0,20137.0,384064.0,88597.0,340954.0,724412.0,568297.0,0.0,0.0,0.0,0.0,94649.0,253103.0,1086067.0,285647.0,0.0,0.0,0.0,66.0,282.0,0.0,110417.0,294258.0,72758.0,505833.0,32668.0,0.0,0.0,0.0,0.0,0.0,67511.0,742358.0,217966.0,0.0,66.0,0.0,0.0,158.0,0.0,0.0,19447.0,0.0,36520.0,264601.0,404836.0,0.0,0.0,0.0,0.0,0.0,117616.0,79596.0,36608.0,158537.0,0.0,0.0,0.0,0.0,0.0,0.0,75348.0,76826.0,32345.0,187715.0,87065.0,66.0,0.0,0.0,66.0,283.0,0.0,415566.0,332727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223456.0,203624.0,121562.0,229484.0,0.0,0.0,0.0,0.0,0.0,0.0,346913.0,499517.0,0.0,66.0,0.0,74.0,158.0,158.0,0.0,0.0,65304.0,384675.0,114251.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,111898.0,720790.0,393385.0,62709.0,220482.0,5108.0,0.0,0.0,0.0,349.0,48811.0,578316.0,669520.0,129682.0,142311.0,73349.0,0.0,89.0,0.0,0.0,88057.0,428022.0,775654.0,488181.0,91109.0,154327.0,158.0,0.0,0.0,0.0,49682.0,740270.0,417923.0,914549.0,43.0,1.0
159675.0,0.0,236.0,8401.0,136956.0,106115.0,455012.0,1081964.0,296359.0,212105.0,972516.0,265466.0,722389.0,857487.0,452136.0,1188237.0,493674.0,1215716.0,496230.0,1323237.0,276836.0,1231280.0,565662.0,1282790.0,409384.0,1159412.0,546962.0,846223.0,1022674.0,532149.0,1045605.0,418629.0,1319845.0,373363.0,978807.0,308672.0,1169166.0,55012.0,377744.0,942701.0,528635.0,1144450.0,487853.0,1234230.0,384211.0,1178050.0,448323.0,1199774.0,503281.0,1092033.0,421796.0,612378.0,1011717.0,691694.0,817755.0,114207.0,0.0,205687.0,763909.0,714851.0,0.0,0.0,0.0,0.0,66.0,285.0,0.0,162256.0,768802.0,122083.0,855003.0,117126.0,0.0,66.0,0.0,0.0,0.0,184972.0,326045.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,285.0,0.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,66.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3425.0,2538.0,1999.0,5031.0,904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,132.0,0.0,0.0,0.0,0.0,0.0,66.0,285.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,8.0,1.0
199789.0,61079.0,279.0,3169.0,442776.0,11216.0,200107.0,1200025.0,0.0,207260.0,902210.0,181213.0,1211804.0,1341077.0,862424.0,706942.0,1060884.0,1139190.0,557603.0,1345736.0,1268772.0,904819.0,730327.0,1300525.0,1219874.0,511575.0,1200236.0,1137328.0,1159511.0,778158.0,1322187.0,1263163.0,1349263.0,479058.0,1325264.0,1352031.0,1269876.0,929062.0,104257.0,1364696.0,1303025.0,1238537.0,1210680.0,396425.0,965045.0,1007660.0,985136.0,1088014.0,1402677.0,333123.0,728111.0,771034.0,835857.0,1342929.0,1161010.0,494877.0,1270032.0,1180379.0,227781.0,381098.0,288552.0,51031.0,75515.0,0.0,0.0,9058.0,52446.0,25584.0,117520.0,7764.0,21998.0,9058.0,41408.0,30060.0,50834.0,21438.0,24586.0,184481.0,145889.0,41408.0,106108.0,0.0,19159.0,47872.0,57020.0,145268.0,67519.0,68582.0,34938.0,18579.0,184634.0,239285.0,300295.0,379614.0,318644.0,260997.0,124091.0,16822.0,80440.0,18911.0,1294.0,66781.0,240215.0,58230.0,30506.0,58653.0,54810.0,35007.0,51760.0,151045.0,104814.0,21630.0,14234.0,28468.0,222572.0,97185.0,80228.0,61693.0,14234.0,0.0,0.0,17004.0,3882.0,12940.0,25880.0,40114.0,51760.0,82771.0,87681.0,67288.0,19410.0,45394.0,40114.0,175624.0,153568.0,157317.0,251773.0,223858.0,94139.0,139808.0,109515.0,221624.0,86162.0,115319.0,180951.0,143058.0,177278.0,33644.0,126484.0,121629.0,83536.0,161395.0,147614.0,176158.0,23292.0,241947.0,71928.0,33714.0,119048.0,136698.0,68682.0,92878.0,119774.0,328255.0,342054.0,493758.0,591272.0,580328.0,823046.0,661974.0,640031.0,349484.0,765355.0,566644.0,34552.0,946406.0,920538.0,640994.0,461477.0,1147991.0,936830.0,127424.0,277762.0,613985.0,16488.0,499.0,1643.0,1009.0,6460.0,0.0,331527.0,194054.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,284.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,15.0,1.0
